"iso","datetime","count"
"AE","2024-01-01","4"
"AM","2024-01-01","71"
"AR","2023-01-01","6"
"AR","2024-01-01","8"
"AT","2023-01-01","4"
"AT","2024-01-01","17"
"AU","2023-01-01","9"
"AU","2024-01-01","35"
"BA","2024-01-01","1"
"BD","2024-01-01","1"
"BE","2023-01-01","1"
"BE","2024-01-01","14"
"BG","2022-01-01","33"
"BG","2023-01-01","72"
"BG","2024-01-01","79"
"BR","2024-01-01","2"
"CA","2023-01-01","20"
"CA","2024-01-01","79"
"CH","2023-01-01","4"
"CH","2024-01-01","18"
"CL","2023-01-01","2"
"CL","2024-01-01","6"
"CM","2024-01-01","2"
"CN","2023-01-01","2"
"CN","2024-01-01","10"
"CO","2024-01-01","8"
"CR","2024-01-01","1"
"CV","2024-01-01","4"
"CY","2024-01-01","1"
"CZ","2023-01-01","4"
"CZ","2024-01-01","14"
"DE","2023-01-01","6"
"DE","2024-01-01","52"
"DK","2023-01-01","1"
"DK","2024-01-01","5"
"EC","2024-01-01","2"
"ES","2022-01-01","1"
"ES","2023-01-01","3"
"ES","2024-01-01","12"
"FR","2022-01-01","4"
"FR","2023-01-01","11"
"FR","2024-01-01","20"
"GB","2023-01-01","17"
"GB","2024-01-01","113"
"GH","2022-01-01","5"
"GH","2023-01-01","8"
"GH","2024-01-01","22"
"GM","2022-01-01","1"
"GM","2023-01-01","1"
"GR","2024-01-01","5"
"GY","2024-01-01","1"
"HK","2022-01-01","1"
"HN","2024-01-01","2"
"HR","2024-01-01","11"
"HU","2023-01-01","2"
"HU","2024-01-01","9"
"ID","2023-01-01","4"
"ID","2024-01-01","10"
"IE","2023-01-01","2"
"IE","2024-01-01","10"
"IL","2024-01-01","3"
"IN","2023-01-01","1"
"IN","2024-01-01","4"
"IS","2024-01-01","1"
"IT","2023-01-01","5"
"IT","2024-01-01","11"
"JE","2024-01-01","19"
"JP","2023-01-01","1"
"JP","2024-01-01","4"
"KE","2023-01-01","1"
"KE","2024-01-01","3"
"KG","2024-01-01","46"
"KR","2024-01-01","4"
"KZ","2024-01-01","40"
"LA","2023-01-01","1"
"LA","2024-01-01","1"
"LK","2024-01-01","1"
"LT","2024-01-01","2"
"MA","2024-01-01","3"
"MC","2023-01-01","1"
"MD","2024-01-01","2"
"MT","2024-01-01","1"
"MU","2023-01-01","1"
"MU","2024-01-01","2"
"MV","2024-01-01","1"
"MX","2023-01-01","2"
"MX","2024-01-01","6"
"MY","2023-01-01","2"
"MY","2024-01-01","2"
"NG","2023-01-01","2"
"NG","2024-01-01","2"
"NL","2023-01-01","8"
"NL","2024-01-01","32"
"NO","2024-01-01","3"
"NP","2023-01-01","1"
"NP","2024-01-01","2"
"NZ","2024-01-01","7"
"PE","2023-01-01","1"
"PE","2024-01-01","1"
"PH","2023-01-01","2"
"PH","2024-01-01","9"
"PK","2023-01-01","2"
"PK","2024-01-01","6"
"PL","2023-01-01","2"
"PL","2024-01-01","11"
"PT","2023-01-01","2"
"PT","2024-01-01","5"
"RO","2023-01-01","3"
"RO","2024-01-01","12"
"RS","2024-01-01","3"
"SA","2024-01-01","2"
"SD","2024-01-01","1"
"SE","2024-01-01","5"
"SG","2023-01-01","1"
"SG","2024-01-01","3"
"SI","2023-01-01","1"
"SI","2024-01-01","3"
"SN","2023-01-01","1"
"SN","2024-01-01","2"
"TH","2023-01-01","39"
"TH","2024-01-01","203"
"TJ","2023-01-01","3"
"TJ","2024-01-01","3"
"TR","2023-01-01","4"
"TR","2024-01-01","10"
"TW","2023-01-01","1"
"TW","2024-01-01","3"
"UA","2023-01-01","1"
"UA","2024-01-01","3"
"US","2017-01-01","129"
"US","2018-01-01","27"
"US","2019-01-01","66"
"US","2020-01-01","33"
"US","2021-01-01","62"
"US","2022-01-01","315"
"US","2023-01-01","382"
"US","2024-01-01","1168"
"UY","2023-01-01","1"
"VN","2024-01-01","1"
"ZA","2023-01-01","11"
"ZA","2024-01-01","25"
"ZM","2024-01-01","3"
